Year,Ticker,Name,Currency,CurrentAssets,AmortizationGoodwill,AccountsPayable,Assets,AverageShortTermRate,BVPS,CapitalizedSoftware,CommonEquity,Cash,CashDelta,CNI,ContingentLiabilities,COGS,CommonSharesIssued,CommonSharesOutstanding,CommonShareholders,CommonCapital,CapitalizedLeases,DebtSeniorConvertible,DebtSubordinatedConvertible,DebtIssuance,DebtTiedtoPrime,Debt,AccumulatedDepreciation,CashDividends,DividendsCommon,DividendsPreferred,Dividends,EBITDA,EBIT,Employees,DilutedEPS,ForeignExchange,FinancingActivities,Goodwill,GoodwillAmortization,Gain/LossPretax,GrossProfit,InvestmentBankingIncome,InvestedCapital,InterestIncome,Intangibles,InterestCapitalized,Inventories,InvestingActivities,CurrentLiabilities,Liabilities,NI,OperatingIncome,PTI,PPEGross,PPENet,PreferredStock,Provisions,RetainedEarnings,Receivables,Revenue,Sales,SaleofCommonStock,Equity,SaleofProperty,IncomeTaxes,NetDeferredTaxAsset,NetDeferredTaxLiability,IncomeTaxesPayable,IncomeTaxesPaid,IncomeTaxRefund,Taxes,PreferredStockatCarryingValue,WorkingCapital,OperatingExpenses,PrepaidExpenses,RetirementExpenses,RDExpenses,SGA Expenses,StaffExpense,Expense,UnderwritingExpense,DividendsperShare,PriceClose,SIC,Industry,State/Province,WebURL
1994,SIVB,SVB Financial Group,USD,0,0,1075.37,1161.54,0,9.08,0,77.26,289.85,0,0,0,17.88,0,8.51,0,53.71,0,0,0,0,0,0,0,0,0,0,0,33,34.5,0,1.06,0,0,0,0,0,62.1,0,77.26,0,0,0,8.47,0,0,1084.28,9.07,34.5,16.5,0,0,0,0,23.54,682.43,79.97,79.97,0,77.26,0,0,0,0,0,0,0,7.43,0,0,45.48,0,0,0,27.6,0,0,0,0,13.5,6021,National Commercial Banks,CA,www.svb.com
1995,SIVB,SVB Financial Group,USD,0,0,1290.06,1407.59,0,11.71,0,104.97,342.33,0,0,0,36.03,0,8.96,0,59.32,0,0,0,0,0,0,0,0,0,0,0,41.82,43.77,0,1.98,0,0,0,0,0,77.78,0,104.97,0,0,0,4.96,0,0,1302.61,18.15,43.77,29.86,0,0,0,0,45.66,708.71,113.81,113.81,0,104.97,0,0,0,0,0,0,0,11.7,0,0,70.04,0,0,0,34.01,0,0,0,0,24,6021,National Commercial Banks,CA,www.svb.com
1996,SIVB,SVB Financial Group,USD,0,0,1774.3,1924.54,0,14.51,0,135.4,433.18,0,0,0,48.22,0,9.33,0,65.62,0,0,0,0,0,0,0,0,0,0,0,49.52,50.71,0,2.19,0,0,0,0,0,88.46,0,135.4,0,0,0,1.95,0,0,1789.14,21.47,50.71,35.78,0,0,0,0,69.78,830.79,136.68,136.68,0,135.4,0,0,0,0,0,0,0,14.31,0,0,85.98,0,0.1,0,37.75,0,0,0,0,32.25,6021,National Commercial Banks,CA,www.svb.com
1997,SIVB,SVB Financial Group,USD,0,0,2432.41,2625.12,0,17.5,0,174.48,426.83,0,0,0,65.22,0,9.97,0,83.01,0,0,0,0,0,0,0,0,0,0,0,65.57,66.91,0,2.72,0,0,0,0,0,114.02,0,174.48,0,0,0,0.69,0,0,2450.64,27.68,66.91,47.72,0,0,0,0,97.42,1136.95,179.24,179.24,0,174.48,0,0,0,0,0,0,0,20.04,0,0,112.33,0,0.8,0,47.11,0,0,0,0,56.25,6021,National Commercial Banks,CA,www.svb.com
1998,SIVB,SVB Financial Group,USD,0,0,3269.75,3545.45,0,10.42,0,215.87,522.2,0,0,0,115.77,20.71,20.71,0,94.13,0,0,0,0,0,38.49,0,0,0,0,0,74.69,76.52,0,1.38,0,0,0,0,0,132.62,0,254.35,0,0,0,0.66,0,0,3329.59,28.86,76.52,48.97,0,0,0,0,125.93,1565.92,248.39,248.39,0,215.87,0,0,0,0,0,0,0,20.12,0,0,171.87,0,2,0,56.09,0,0,0,0,17.03,6021,National Commercial Banks,CA,www.svb.com
1999,SIVB,SVB Financial Group,USD,0,0,4109.41,4596.4,0,16.47,0,368.85,1176.1,0,0,0,128.84,22.4,22.4,0,0.02,0,0,0,0,0,38.54,0,0,0,0,0,119.86,123.12,0.7,2.46,0,0,0,0,0,211.89,0,407.39,0,0,0,0,0,0,4227.55,52.2,123.12,86.23,0,0,0,0,217.72,1551.21,340.72,340.72,0,368.85,0,0,0,0,0,0,0,34.03,0,0,217.6,0,1.8,0,88.76,0,0,0,0,49.5,6021,National Commercial Banks,CA,www.svb.com
2000,SIVB,SVB Financial Group,USD,0,0,4862.26,5626.78,0,12.54,0,614.12,1722.37,0,0,0,111.51,48.98,48.98,0,0.05,0,0,0,0,0,38.59,0,0,0,0,0,333.11,337.13,0.83,3.23,0,0,0,0,0,464.88,0,683.38,0,0,0,0,0,0,4981.99,159.07,337.13,266.52,0,0,0,0,337.7,1642.75,576.39,576.39,0,614.12,0,0,0,0,0,0,0,107.91,0,0,239.26,0,2.2,0,127.75,0,0,0,0,34.56,6021,National Commercial Banks,CA,www.svb.com
2001,SIVB,SVB Financial Group,USD,0,0,3380.98,4172.08,0,13.83,0,627.52,440.53,0,0,0,54.07,45.39,45.39,0,0.05,0,0,0,0,0,64.33,0,0,0,0,0,190.75,196.46,0.98,1.79,0,0,96.38,0,0,317.09,0,720.12,0,96.38,0,0,0,0,3516.29,88.15,196.46,133.61,0,0,0,0,432.93,1694.66,371.16,371.16,0,627.52,0,0,0,0,0,0,0,53,0,0,174.7,0,3.5,0,120.63,0,0,0,0,26.73,6021,National Commercial Banks,CA,www.svb.com
2002,SIVB,SVB Financial Group,USD,0,0,3436.13,4183.18,0,14.55,0,590.35,442.59,0,0,0,21.76,40.58,40.58,0,0.04,0,0,0,0,0,56.87,0,0,0,0,0,115.71,123.56,1.02,1.18,0,0,100.55,0,0,258.68,0,690.38,0,100.55,0,0,0,0,3549.67,53.36,123.56,72.31,0,0,0,0,490.98,2015.58,280.44,280.44,0,590.35,0,0,0,0,0,0,0,26.72,0,0,156.88,0,4.3,0,135.12,0,0,0,0,18.25,6021,National Commercial Banks,CA,www.svb.com
2003,SIVB,SVB Financial Group,USD,0,0,3666.88,4465.37,0,12.76,0,447.01,795,0,0,0,7.23,35.03,35.03,0,0.04,0,0,0,0,0,204.29,0,0,0,0,0,111.54,119.15,0.97,0.32,0,0,37.55,0,0,270.17,0,702.04,0,37.55,0,0,0,0,3967.62,11.98,119.15,7.48,0,0,0,0,433.96,1924.73,277.4,277.4,0,447.01,0,0,0,0,0,0,0,3.19,0,0,158.25,0,0,0,151.02,0,0,0,0,36.07,6021,National Commercial Banks,CA,www.svb.com
2004,SIVB,SVB Financial Group,USD,0,0,4219.51,5145.68,0,15.07,0,541.95,627.22,-208.1,0,0,1.1,35.97,35.97,0,0.04,0,0,0,0,0,196.21,0,0,0,0,0,154.33,163.11,1.03,1.7,0,573.89,35.64,0,0,347.54,0,808.84,0,35.64,0,0,-876.32,0,4533.05,63.87,163.11,105.71,0,0,0,0,501.2,2270.98,348.64,348.64,0,541.95,0,0,54.56,11.88,0,25.31,0,38.75,0,0,185.54,0,3.6,0,184.43,0,0,0,0,44.82,6021,National Commercial Banks,CA,www.svb.com
2005,SIVB,SVB Financial Group,USD,0,0,4252.73,5541.72,0,16.22,0,569.3,462.1,-165.12,0,0,17.4,35.1,35.1,0,0.04,0,0,0,269.66,0,195.83,0,0,0,0,0,216.13,223.93,1.03,2.4,0,289.21,35.64,0,0,416.55,0,884.59,0,35.64,0,6.26,-567.89,0,4852.96,92.54,223.93,156.69,0,0,0,0,566.62,2806.57,433.95,433.95,0,569.3,0,0,72.27,13.41,0,49.98,0,60.76,0,0,210.03,0,4.5,0,192.62,0,0,0,0,46.84,6021,National Commercial Banks,CA,www.svb.com
2006,SIVB,SVB Financial Group,USD,0,0,4057.63,6081.45,0,18.27,0,628.51,632.59,170.49,0,0,45.06,34.4,34.4,0,0.03,0,0,0,150,0,352.47,0,0,0,0,0,252.88,262.52,1.14,2.38,0,342.45,21.3,0,0,483.79,0,1146.99,0,21.3,0,5.68,-299.57,0,5286.92,89.39,262.52,161.28,0,0,0,0,623.61,3439.66,528.85,528.85,0,628.51,0,0,81.09,18.25,0,61.33,0,65.78,0,0,266.33,0,4.1,0,221.27,0,0,0,0,46.62,6021,National Commercial Banks,CA,www.svb.com
2007,SIVB,SVB Financial Group,USD,0,0,4611.2,6692.46,0,20.71,0,676.65,684.06,51.48,0,0,79.29,32.67,32.67,0,0.03,0,0,0,495.03,0,725.99,0,0,0,0,0,311.55,331,1.13,3.37,0,392.1,4.09,0,0,585.48,0,1642.74,0,4.09,0,1.91,-515.51,0,5775.7,123.64,331,239.01,0,0,0,0,676.62,4104.44,664.77,664.77,0,676.65,0,0,81,13.88,0,83.67,0,86.78,0,0,333.77,0,4.9,0,254.48,0,0,0,0,50.4,6021,National Commercial Banks,CA,www.svb.com
2008,SIVB,SVB Financial Group,USD,0,0,7473.47,10020.89,0,22.9,0,767.57,2438.81,1754.75,0,0,168.2,32.92,32.92,0,0.03,0,0,0,222.69,0,899.24,0,0,0,0.71,0.71,185.58,210.64,1.24,2.29,0,3184.02,4.09,0,0,427.44,0,2208.34,0,4.09,0,1.25,-1596.18,0,8711.79,78.63,210.64,114.56,0,0,0,0,721.66,5398.86,595.64,595.64,0,988.75,0,0,77.95,14.72,0,37.5,0,55.07,0,0,385,0,4.9,0,216.81,0,0,0,0,26.23,6021,National Commercial Banks,CA,www.svb.com
2009,SIVB,SVB Financial Group,USD,0,0,10331.94,12841.4,0,27.3,0,1128.34,3512.85,1076.13,22.33,0,139.26,41.34,41.34,0,0.04,0,0,0,0,0,854.75,0,12.11,0,25.34,25.34,123.53,158.92,1.26,0.66,0,2846.63,0,0,0,389.71,0,2328.86,0,0,0,0.22,-1901.56,0,11367.29,48.01,158.92,45.85,0,0,0,0,738.81,4475.64,528.97,528.97,0,1128.34,0,0,66.13,13.09,0,39.05,0,35.21,0,0,370.05,28.18,6,0,230.79,0,0,0,0,41.66,6021,National Commercial Banks,CA,www.svb.com
2010,SIVB,SVB Financial Group,USD,0,0,14336.94,17527.76,0,30.15,0,1274.35,3076.43,-436.42,155.06,0,88.22,42.27,42.27,0,0.04,0,0,0,344.48,0,955.55,0,0,0,0,0,310.77,330.03,1.36,2.24,0,4453.06,0,0,0,621.04,0,2703.82,0,0,0,0,-5052.71,0,15779.48,94.95,330.03,198.22,0,0,0,0,851.97,5439.11,709.26,709.26,0,1274.35,0,0,67.06,25.19,0,41.76,0,61.4,0,0,379.23,17.53,6.06,0,291.01,0,0,0,0,53.05,6021,National Commercial Banks,CA,www.svb.com
2011,SIVB,SVB Financial Group,USD,0,0,16709.54,19968.89,0,36.07,0,1569.39,1114.95,-1961.48,344.05,0,45.21,43.51,43.51,0,0.04,0,0,0,36.96,0,458.24,0,0,0,0,0,514.02,541.51,1.53,3.94,0,1911.08,0,0,0,902.51,0,2708.63,0,0,0,0,-4038.85,0,17718.51,171.9,541.51,401.88,0,0,0,0,1085.13,6880.14,947.72,947.72,0,1569.39,0,0,76.88,84.85,0,103.85,0,119.09,0,0,406.21,8.78,8.16,0,361,0,0,0,0,47.69,6021,National Commercial Banks,CA,www.svb.com
2012,SIVB,SVB Financial Group,USD,0,0,19176.45,22766.12,0,41.02,0,1830.56,1008.98,-105.97,272.97,0,75.18,44.63,44.63,0,0.05,0,0,0,0,0,457.76,0,0,0,0,0,486.55,514.67,1.62,3.91,0,2584.3,0,0,4.24,904.84,0,3063,0,0,0,0,-2890.4,0,20160.89,175.1,514.67,363.08,0,0,0,0,1283.43,8836.28,980.02,980.02,0,1830.56,0,0,85.05,110.63,0,95.68,0,113.27,0,0,465.35,0.46,9.95,0,390.17,0,0,0,0,55.97,6021,National Commercial Banks,CA,www.svb.com
2013,SIVB,SVB Financial Group,USD,0,0,22472.98,26417.19,0,42.93,0,1966.27,1538.78,529.8,388.8,0,95.97,45.8,45.8,0,0.05,0,0,0,0,0,455.22,0,0,0,0,0,833.29,869.18,1.7,4.7,0,3197.01,0,0,0,1306.86,0,3534.54,0,0,0,1,-2840.3,0,23337.86,215.85,869.18,685.18,0,0,0,0,1341.97,10763.5,1402.83,1402.83,0,1966.27,0,0,136.7,68.47,0,142.23,0,139.06,0,0,533.64,0,11.28,0,437.67,0,0,0,0,104.86,6021,National Commercial Banks,CA,www.svb.com
2014,SIVB,SVB Financial Group,USD,0,0,34343.5,39344.64,0,55.33,0,2817.76,1796.06,272.24,570.18,0,94.81,50.93,50.93,0,0.05,0,0,0,0,0,453.44,0,0,0,0,0,854.38,894.08,1.91,5.31,0,12250.65,0,0,0,1383.28,0,4509.87,0,0,0,0.56,-12233.93,0,35288.22,263.93,894.08,652.48,0,0,0,0,1697.36,14218.92,1478.09,1478.09,0,2817.76,0,0,127.7,77.78,0,208.56,0,173.76,0,0,584.01,0,12,0,489.21,0,0,0,0,116.07,6021,National Commercial Banks,CA,www.svb.com
2015,SIVB,SVB Financial Group,USD,0,0,39142.78,44686.7,0,61.97,0,3198.13,1503.26,-307.76,347.52,0,137.97,51.61,51.61,0,0.05,0,0,0,346.43,0,796.7,0,0,0,0,0,781.14,821.15,2.09,6.62,0,5848.78,0,0,0,1381.59,0,4129.93,0,0,0,0,-6496.35,0,41353.47,343.9,821.15,603.57,0,0,0,0,2009.05,16524.46,1519.56,1519.56,0,3198.13,0,0,156.62,82.68,0,220.48,0,228.75,0,0,698.41,0,13.81,0,560.44,0,0,0,0,118.9,6021,National Commercial Banks,CA,www.svb.com
2016,SIVB,SVB Financial Group,USD,0,0,38979.87,44683.66,0,69.71,0,3642.55,2545.75,1042.49,398.29,0,138.57,52.25,52.25,0,0.05,0,0,0,0,0,749.06,0,0,0,0,0,844.86,891.68,2.31,7.31,0,-410.83,0,0,0,1511.38,0,4526.1,0,0,0,0,1015.34,0,40906.62,382.69,891.68,640.6,0,0,0,0,2399.76,19674.58,1649.95,1649.95,0,3642.55,0,0,185.89,114.05,0,240.75,0,250.33,0,0,758.27,0,16.08,0,619.7,0,0,0,0,171.66,6021,National Commercial Banks,CA,www.svb.com
2017,SIVB,SVB Financial Group,USD,0,0,44254.08,51214.47,0,79.11,0,4179.8,2923.08,377.33,494.28,0,137.08,52.84,52.84,0,0.05,0,0,0,0,0,695.49,0,0,0,0,0,1102.62,1158.74,2.44,9.2,0,5700.96,0,0,0,1885.3,0,5014.91,0,0,0,0,-5903.73,0,46895.05,490.51,1158.74,874.64,0,0,0,0,2865.37,22851.29,2022.37,2022.37,0,4179.8,0,0,143.99,80.15,0,277.82,0,355.46,0,0,863.63,0,17.86,0,726.55,0,0,0,0,233.77,6021,National Commercial Banks,CA,www.svb.com
1989,STD2,Santander Holdings USA Inc,USD,0,0,923.75,1253.39,0,20.66,0,56.29,85.48,0,0,0,96.28,0,2.73,2.52,2.18,0,0,0,0,0,90.79,0,0,0.25,0,0.25,16.5,16.5,0.39,1.97,0,0,0,0,0,27.79,0,147.08,0,0,0,1.61,0,0,1197.1,5.41,16.5,9.03,0,0,0,0,31.9,851.5,124.07,124.07,0,56.29,0,0,0,0,0,0,0,3.62,0,0,107.57,0,0,0,11.29,0,0,0,0.09,13,6021,National Commercial Banks,MA,www.santanderbank.com
1990,STD2,Santander Holdings USA Inc,USD,0,0,906.02,1319.17,0,22.53,0,61.5,52.55,0,0,0,98.8,0,2.73,2.49,2.74,0,0,0,0,0,34.63,0,0,0.27,0,0.27,15.7,15.7,0.37,1.98,0,0,0,0,0,27.42,0,96.13,0,4.25,0,2.55,0,0,1257.67,5.46,15.7,8.85,0,0,0,0,29.68,904.4,126.22,126.22,0,61.5,0,0,0,0,0,0,0,3.39,0,0,110.53,0,0,0,11.72,0,0,0,0.1,9.75,6021,National Commercial Banks,MA,www.santanderbank.com
1991,STD2,Santander Holdings USA Inc,USD,0,0,1261.24,1661.78,0,11.06,0,90.11,47.75,0,0,0,95.57,0,8.15,2.63,58.47,0,0,0,0,0,8.26,0,0,0.72,0,0.72,23.16,23.16,0.46,1.11,0,0,0,0,0,36.26,0,98.37,0,7.07,0,3.91,0,0,1571.67,7.81,23.16,15.05,0,0,0,0,31.89,1052.92,131.83,131.83,0,90.11,0,0,0,0,0,0,0,7.25,0,0,108.67,0,0,0,13.09,0,0,0,0.1,9.25,6021,National Commercial Banks,MA,www.santanderbank.com
1992,STD2,Santander Holdings USA Inc,USD,0,0,2393.57,3071.1,0,7.78,0,169.55,98.52,0,0,0,97.23,0,21.79,4.59,167.43,0,0,0,0,0,214.8,0,0,1.74,0,1.74,39.58,39.58,0.99,0.9,0,0,0,0,0,59.6,0,384.35,0,18.46,0,16.08,0,0,2901.55,14.03,39.58,25.96,0,0,0,0,2.12,1987.38,156.83,156.83,0,169.55,0,0,0,0,0,0,0,11.94,0,0,117.25,0,0,0,20.02,0,0,0,0.15,10.75,6021,National Commercial Banks,MA,www.santanderbank.com
1993,STD2,Santander Holdings USA Inc,USD,0,0,2842.25,4495.38,0,6.37,0,220.52,108.22,0,0,0,149.33,0,34.61,0,171.76,0,0,0,0,0,736.54,0,0,3.11,0,3.11,73.13,80.99,0,1,0,0,0,0,0,121.8,0,957.07,0,30.44,0,64.73,0,0,4274.86,35.4,80.99,51.07,0,0,0,0,48.76,2694.26,271.14,271.14,0,220.52,0,0,0,0,0,0,0,20.47,0,0,190.15,0,0,0,40.81,0,0,0,0.07,13.13,6021,National Commercial Banks,MA,www.santanderbank.com
1994,STD2,Santander Holdings USA Inc,USD,0,0,4027.12,6564.08,0,6.67,0,303.9,139.4,0,0,0,202.84,0,45.57,0,224.96,0,0,0,0,0,1553.78,0,0,5.25,0,5.25,111.18,116.05,0,0.98,0,0,0,0,0,165.85,0,1857.68,0,64.55,0,16.86,0,0,6260.18,46.4,116.05,74.87,0,0,0,0,78.94,4314.61,368.7,368.7,0,303.9,0,0,0,0,0,0,0,28.47,0,0,252.65,0,0,0,49.8,0,0,0,0.09,7.75,6021,National Commercial Banks,MA,www.santanderbank.com
1995,STD2,Santander Holdings USA Inc,USD,0,0,5039.14,8078.29,0,7.19,0,330.58,147.77,0,0,0,319.81,48.44,45.47,0,248.88,0,0,0,0,0,2148.38,0,0,3.95,4.69,8.63,128.3,138.61,0,0.96,0,0,0,0,0,199.06,0,2575.4,0,123.24,0,75.03,0,0,7651.26,56.41,138.61,85.95,0,0,0,0,110.48,4639.51,518.86,518.86,0,427.03,0,0,0,0,0,0,0,29.54,0,0,380.25,0,0,0,60.44,0,0,0,0.09,10.13,6021,National Commercial Banks,MA,www.santanderbank.com
1996,STD2,Santander Holdings USA Inc,USD,0,0,5052.44,9433.15,0,6.3,0,379.37,105.17,0,0,0,402.06,63.72,59.64,0,278.08,0,0,0,0,0,3856.27,0,0,12.74,6.25,18.99,152.53,167.23,0,0.86,0,0,0,0,0,240.88,0,4332.08,0,111.46,0,30.44,0,0,8957.34,51.46,167.23,113.58,0,0,0,0,134.4,6122.51,642.93,642.93,0,475.82,0,0,0,0,0,0,0,31.54,0,0,475.71,0,3.06,0,73.65,0,0,0,0.08,13.13,6021,National Commercial Banks,MA,www.santanderbank.com
1997,STD2,Santander Holdings USA Inc,USD,0,0,7889.92,14336.2,0,6.34,0,681.97,201.71,0,0,0,657.08,112.15,107.52,0,382.53,0,0,0,0,0,5158.97,0,0,9.78,6.24,16.02,211.95,238.94,0,0.63,0,0,0,0,0,342.13,0,5937.22,0,115.91,0,31.7,0,0,13558,77.64,238.94,130.02,0,0,0,0,330.82,9832.63,999.21,999.21,0,778.25,0,0,0,0,0,0,0,52.38,0,0,760.27,0,5.39,0,103.19,0,0,0,0.08,20.75,6021,National Commercial Banks,MA,www.santanderbank.com
1998,STD2,Santander Holdings USA Inc,USD,0,0,12322.72,21913.87,0,7.54,0,1204.07,553.72,0,0,0,889.72,164.15,159.73,0,649.34,0,0,0,0,0,7177.2,0,0,12.79,1.5,14.29,361,392.64,0,0.85,0,0,0,0,0,570.83,0,8381.27,0,425.93,0,312.51,0,0,20709.81,136.46,392.64,211.21,0,0,0,0,582.71,11152.04,1460.55,1460.55,0,1204.07,0,0,0,0,0,0,0,74.75,0,0,1067.91,0,6.04,0,178.19,0,0,0,0.08,14.25,6021,National Commercial Banks,MA,www.santanderbank.com
1999,STD2,Santander Holdings USA Inc,USD,0,0,11719.65,26607.11,0,8.08,0,1821.5,393.23,0,0,0,1022.67,230.65,225.47,0,1251.58,0,0,0,0,0,6077.07,0,0,17.11,0,17.11,414.92,492.55,4.5,1.01,0,0,0,0,0,715,0,7898.57,0,434.08,0,67.25,0,0,24785.62,179.3,492.55,268.61,0,0,0,0,607.35,14093.55,1737.67,1737.67,0,1821.5,0,0,0,0,0,0,0,89.32,0,0,1245.12,0,2.36,0,222.44,0,0,0,0.1,7.45,6021,National Commercial Banks,MA,www.santanderbank.com
2000,STD2,Santander Holdings USA Inc,USD,0,0,24498.92,33457.8,0,8.6,0,1948.88,959.64,0,0,0,1471.42,231.47,226.5,0,1259.37,0,0,0,0,0,5229.37,0,0,22.5,0,22.5,348.86,477.44,6.55,-0.13,0,0,0,0,0,906.87,0,7316.51,0,1455.33,0,68.18,0,0,31370.66,-30.24,477.44,-106.23,0,0,0,0,726.53,21595.9,2378.3,2378.3,0,1948.88,0,0,0,0,0,0,0,-65.22,0,0,1900.85,0,1.4,0,429.43,0,0,0,0.1,8.13,6021,National Commercial Banks,MA,www.santanderbank.com
2001,STD2,Santander Holdings USA Inc,USD,0,0,23297.57,35474.84,0,8.88,0,2202.48,907.28,0,0,0,1265.29,252.39,248.03,0,1416.27,0,0,0,0,0,6665.14,0,0,24.8,0,24.8,640.84,816.15,7.1,0.45,0,0,0,0,28.1,1355.15,0,9071.29,0,1343.9,0,318.21,0,0,33068.69,116.82,816.15,149.95,0,0,0,0,823.95,19825.97,2620.44,2620.44,0,2202.48,0,0,0,0,0,0,0,26.58,0,0,1804.29,0,9.8,0,539,0,0,0,0.1,12.24,6021,National Commercial Banks,MA,www.santanderbank.com
2002,STD2,Santander Holdings USA Inc,USD,0,0,26784.98,39524.19,0,10.57,0,2764.32,972.61,0,0,0,1046.42,265.55,261.62,0,1580.28,0,0,0,0,0,6239.82,0,0,26.06,0,26.06,729.37,872.79,8.01,1.23,0,0,1025.29,31.03,0,1445.64,0,9204.76,0,1368.6,0,401.06,0,0,36559.25,341.99,872.79,466.56,0,0,0,0,1211.41,22446.52,2492.07,2492.07,0,2764.32,0,0,0,0,0,0,0,124.57,0,0,1619.28,0,10.3,0,572.86,0,0,0,0.1,14.05,6021,National Commercial Banks,MA,www.santanderbank.com
2003,STD2,Santander Holdings USA Inc,USD,0,0,27344.01,43505.33,0,11.12,0,3260.41,950.3,0,0,0,886.08,298.11,293.11,0,1892.13,0,0,0,0,0,12197.6,0,0,28.09,0,28.09,809.74,966.38,8.11,1.38,0,0,1027.29,0,0,1565.89,0,-562.91,0,1373.3,0,154.17,0,0,40042.79,401.85,966.38,554.9,0,0,0,0,1416.29,25683.61,2451.97,2451.97,0,3260.41,0,0,0,0,0,0,0,153.05,0,0,1485.59,0,9.7,0,599.51,0,0,0,0.1,23.75,6021,National Commercial Banks,MA,www.santanderbank.com
2004,STD2,Santander Holdings USA Inc,USD,0,0,32555.52,54471.31,0,14.43,0,4988.37,1160.92,210.62,0,0,946.33,350.26,345.78,0,2949.87,0,0,0,3593.13,0,14556.79,0,37.22,37.22,0,37.22,929.49,1091.3,9.33,1.36,0,3097.18,2125.08,0,0,1760.12,0,-1305.9,0,2381.78,0,149.75,-3477.87,0,49279.04,453.55,1091.3,581.22,0,0,0,0,2081.35,36084.89,2706.44,2706.44,0,4988.37,0,0,276.04,170.23,0,31.96,0,127.67,0,0,1615.14,0,10.3,0,668.82,0,0,0,0.12,22.55,6021,National Commercial Banks,MA,www.santanderbank.com
2005,STD2,Santander Holdings USA Inc,USD,0,0,37977.71,63678.73,0,16.23,0,5810.7,1131.94,-28.99,0,0,1420.5,382.58,358.02,0,3657.54,0,0,0,2162.02,0,9330.42,0,61.02,61.02,0,61.02,1191.59,1358.85,10.17,1.77,0,3872.25,2716.83,0,0,2144.75,0,15346.78,0,3021.86,0,322.99,-4977.01,0,57662.37,676.16,1358.85,892.12,0,0,0,0,2653.29,43072.67,3565.25,3565.25,0,5810.7,0,0,411.6,196.53,0,27.71,0,215.96,0,0,2206.4,0,16.6,0,785.91,0,0,0,0.17,21.62,6021,National Commercial Banks,MA,www.santanderbank.com
2006,STD2,Santander Holdings USA Inc,USD,0,0,52384.55,89641.85,0,18.25,0,8448.95,1804.12,672.18,0,0,2989.32,479.23,473.76,0,6183.28,0,0,0,3146.8,0,9181.23,0,134.01,126.1,7.91,134.01,458.84,679.8,12.51,0.3,0,8355.97,5005.19,0,0,1622.66,0,17982.01,0,5503.61,0,7634.48,-8671.27,0,80841.07,136.91,679.8,19.13,0,0,0,0,2333.72,54505.65,4611.98,4611.98,0,8644.4,0,0,738.1,367.26,0,121.78,0,-117.78,0,0,3932.18,0,15.7,0,942.87,0,0,0,0.29,25.39,6021,National Commercial Banks,MA,www.santanderbank.com
2007,STD2,Santander Holdings USA Inc,USD,0,0,49915.91,84746.4,0,14.52,0,6796.88,3130.77,1326.65,0,0,3199.93,482.77,481.4,0,6295.57,0,0,0,1604.01,0,9581.28,0,167.84,153.24,14.6,167.84,561.79,828.5,11.98,-2.85,0,-3348.74,3426.25,0,0,1810.73,0,16720.04,0,3798.36,0,590.99,4043.92,0,77607.64,-1349.26,828.5,-1409.71,0,0,0,0,521.16,56522.58,5010.65,5010.65,0,6992.33,47.69,0,1081.95,365.07,0,204.09,0,-60.45,0,0,4182.15,0,16.9,0,982.23,0,0,0,0.32,11.4,6021,National Commercial Banks,MA,www.santanderbank.com
2008,STD2,Santander Holdings USA Inc,USD,0,0,48438.57,77093.67,0,8.13,0,5401.27,3754.52,623.75,0,0,2930.85,666.16,663.94,0,7718.77,0,0,0,2088.45,0,9278.58,0,14.6,0,14.6,14.6,-1137.86,-911.94,11.64,-3.98,0,-5402.59,3431.48,0,0,173.57,0,15023.25,0,3699.95,0,377.23,4034.35,0,71348.99,-2357.21,-911.94,-1633.63,0,0,0,0,-2308.12,54300.62,3104.42,3104.42,0,5596.71,0,0,655.63,421.8,0,-5.43,0,723.58,0,0,4016.36,0,14.34,0,1085.51,0,0,0,0,2.98,6021,National Commercial Banks,MA,www.santanderbank.com
2009,STD2,Santander Holdings USA Inc,USD,0,0,44428.07,82953.22,0,17.98,0,9192.09,2323.29,-1431.23,883.59,0,3764.62,511.11,511.11,0,10397.21,0,0,0,4376.73,0,11569.49,0,14.6,0,14.6,14.6,-280.72,-33.86,10.6,0.29,0,-4269.84,4135.54,0,0,1001.26,0,20957.02,0,4381.18,0,218.36,1588.1,0,73565.68,161.57,-33.86,-1122.9,0,0,0,0,-1205.12,55733.95,4765.88,4765.88,0,9387.54,61.63,0,1899.34,571.04,0,350.91,0,-1284.46,0,0,4799.74,0,9.01,0,1035.12,0,0,0,0,2.47,6021,National Commercial Banks,MA,www.santanderbank.com
2010,STD2,Santander Holdings USA Inc,USD,0,0,42673.29,89651.82,0,21.34,0,11039.59,1705.9,-617.4,1175.05,0,3012.88,517.11,517.11,0,11117.33,0,0,0,11946.19,0,21226.53,0,14.6,0,14.6,14.6,1460.48,1781.19,11.71,1.96,0,3747.31,4124.35,0,0,2801.08,0,32487.2,0,4313.29,0,293.21,-7113.97,0,78391.15,1022.14,1781.19,1018.99,0,0,0,0,-77.74,62820.43,5813.96,5813.96,0,11235.03,0,0,2295.12,636.86,0,528.15,0,-40.39,0,0,4032.76,0,9.16,0,1019.89,0,0,0,0,0,6021,National Commercial Banks,MA,www.santanderbank.com
